Round Number,Date,Location,Home Team,Away Team,Result
6,26/11/2018 22:30,ORACLE Arena,Golden State Warriors,Orlando Magic,116 - 110
6,27/11/2018 19:00,Little Caesars Arena,Detroit Pistons,New York Knicks,115 - 108
6,27/11/2018 19:30,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,113 - 115
6,27/11/2018 20:00,FedExForum,Memphis Grizzlies,Toronto Raptors,114 - 122
6,27/11/2018 21:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,117 - 85
6,27/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Indiana Pacers,104 - 109
6,28/11/2018 19:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,108 - 94
6,28/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,117 - 91
6,28/11/2018 19:30,Barclays Center,Brooklyn Nets,Utah Jazz,91 - 101
6,28/11/2018 20:00,Toyota Center,Houston Rockets,Dallas Mavericks,108 - 128
6,28/11/2018 20:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,116 - 113
6,28/11/2018 20:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,128 - 89
6,28/11/2018 20:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,125 - 104
6,28/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Cleveland Cavaliers,100 - 83
6,28/11/2018 22:00,Moda Center,Portland Trail Blazers,Orlando Magic,115 - 112
6,28/11/2018 22:30,Staples Center,LA Clippers,Phoenix Suns,115 - 99
7,29/11/2018 20:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,131 - 128
7,29/11/2018 22:30,Staples Center,Los Angeles Lakers,Indiana Pacers,104 - 96
7,29/11/2018 22:30,Golden 1 Center,Sacramento Kings,LA Clippers,121 - 133
7,30/11/2018 19:00,TD Garden,Boston Celtics,Cleveland Cavaliers,128 - 95
7,30/11/2018 19:00,Spectrum Center,Charlotte Hornets,Utah Jazz,111 - 119
7,30/11/2018 19:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,107 - 88
7,30/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,123 - 98
7,30/11/2018 19:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,125 - 131
7,30/11/2018 20:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,106 - 101
7,30/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Atlanta Hawks,124 - 109
7,30/11/2018 20:00,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,105 - 136
7,30/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Orlando Magic,85 - 99
7,30/11/2018 22:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114 - 103
7,30/11/2018 22:30,Moda Center,Portland Trail Blazers,Denver Nuggets,112 - 113
7,01/12/2018 17:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,136 - 134
7,01/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,111 - 102
7,01/12/2018 19:00,Capital One Arena,Washington Wizards,Brooklyn Nets,102 - 88
7,01/12/2018 20:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,95 - 106
7,01/12/2018 20:00,Toyota Center,Houston Rockets,Chicago Bulls,121 - 105
7,01/12/2018 20:00,Target Center,Minnesota Timberwolves,Boston Celtics,109 - 118
7,01/12/2018 22:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,111 - 110
7,02/12/2018 15:30,Staples Center,Los Angeles Lakers,Phoenix Suns,120 - 96
7,02/12/2018 17:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,109 - 119
7,02/12/2018 18:00,AmericanAirlines Arena,Miami Heat,Utah Jazz,102 - 100
7,02/12/2018 18:00,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,103 - 95
7,02/12/2018 19:00,American Airlines Center,Dallas Mavericks,LA Clippers,114 - 110
7,02/12/2018 19:00,AT+ACY-T Center,San Antonio Spurs,Portland Trail Blazers,131 - 118
7,03/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,83 - 110
7,03/12/2018 19:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,111 - 128
7,03/12/2018 19:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,97 - 99
7,03/12/2018 19:30,Madison Square Garden,New York Knicks,Washington Wizards,107 - 110
7,03/12/2018 19:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,103 - 106
7,03/12/2018 20:00,Target Center,Minnesota Timberwolves,Houston Rockets,103 - 91
7,03/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,126 - 129
7,04/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,96 - 90
7,04/12/2018 19:30,AmericanAirlines Arena,Miami Heat,Orlando Magic,90 - 105
7,04/12/2018 20:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,111 - 102
7,04/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,105 - 122
7,04/12/2018 21:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,139 - 105
7,05/12/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Golden State Warriors,105 - 129
7,05/12/2018 19:00,Amway Center,Orlando Magic,Denver Nuggets,118 - 124
7,05/12/2018 19:30,State Farm Arena,Atlanta Hawks,Washington Wizards,117 - 131
7,05/12/2018 19:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,112 - 114
7,05/12/2018 20:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,113 - 102
7,05/12/2018 20:00,FedExForum,Memphis Grizzlies,LA Clippers,96 - 86
7,05/12/2018 20:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,115 - 92
7,05/12/2018 20:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,121 - 104
7,05/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,132 - 106
7,05/12/2018 22:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,121 - 113
8,06/12/2018 20:00,TD Garden,Boston Celtics,New York Knicks,128 - 100
8,06/12/2018 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,108 - 86
8,06/12/2018 22:30,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,118 - 91
8,07/12/2018 19:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,113 - 107
8,07/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111 - 117
8,07/12/2018 19:00,Amway Center,Orlando Magic,Indiana Pacers,90 - 112
8,07/12/2018 19:30,Barclays Center,Brooklyn Nets,Toronto Raptors,106 - 105
8,07/12/2018 19:30,Quicken Loans Arena,Cleveland Cavaliers,Sacramento Kings,110 - 129
8,07/12/2018 20:00,United Center,Chicago Bulls,Oklahoma City Thunder,114 - 112
8,07/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,103 - 107
8,07/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Los Angeles Lakers,133 - 120
8,07/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Miami Heat,98 - 115
8,07/12/2018 21:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,95 - 105
8,08/12/2018 18:00,American Airlines Center,Dallas Mavericks,Houston Rockets,107 - 104
8,08/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Sacramento Kings,107 - 97
8,08/12/2018 19:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,106 - 98
8,08/12/2018 19:30,Quicken Loans Arena,Cleveland Cavaliers,Washington Wizards,116 - 101
8,08/12/2018 19:30,Madison Square Garden,New York Knicks,Brooklyn Nets,104 - 112
8,08/12/2018 20:00,United Center,Chicago Bulls,Boston Celtics,77 - 133
8,08/12/2018 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,88 - 111
8,08/12/2018 22:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,113 - 105
8,08/12/2018 22:30,Staples Center,LA Clippers,Miami Heat,98 - 121
8,09/12/2018 15:30,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,108 - 116
8,09/12/2018 18:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,99 - 104
8,09/12/2018 19:00,AT+ACY-T Center,San Antonio Spurs,Utah Jazz,110 - 97
8,09/12/2018 19:30,Madison Square Garden,New York Knicks,Charlotte Hornets,107 - 119
8,10/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,109 - 101
8,10/12/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,116 - 102
8,10/12/2018 19:30,TD Garden,Boston Celtics,New Orleans Pelicans,113 - 100
8,10/12/2018 20:00,United Center,Chicago Bulls,Sacramento Kings,89 - 108
8,10/12/2018 20:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,108 - 92
8,10/12/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,122 - 113
8,10/12/2018 20:30,American Airlines Center,Dallas Mavericks,Orlando Magic,101 - 76
8,10/12/2018 21:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,105 - 99
8,10/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,119 - 123
8,10/12/2018 22:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116 - 108
8,10/12/2018 22:30,Staples Center,Los Angeles Lakers,Miami Heat,108 - 105
8,11/12/2018 20:00,Toyota Center,Houston Rockets,Portland Trail Blazers,111 - 103
8,11/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Phoenix Suns,111 - 86
8,11/12/2018 22:30,Staples Center,LA Clippers,Toronto Raptors,99 - 123
8,12/12/2018 19:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,108 - 107
8,12/12/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,New York Knicks,113 - 106
8,12/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,113 - 97
8,12/12/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,124 - 127
8,12/12/2018 19:00,Capital One Arena,Washington Wizards,Boston Celtics,125 - 130
8,12/12/2018 20:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,92 - 83
8,12/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,118 - 114
8,12/12/2018 20:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,114 - 107
8,12/12/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,111 - 84
8,12/12/2018 22:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,141 - 130
8,12/12/2018 22:30,ORACLE Arena,Golden State Warriors,Toronto Raptors,93 - 113
9,13/12/2018 20:00,Toyota Center,Houston Rockets,Los Angeles Lakers,126 - 111
9,13/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,LA Clippers,125 - 87
9,13/12/2018 21:30,Arena Ciudad de Mexico,Orlando Magic,Chicago Bulls,97 - 91
9,13/12/2018 22:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,99 - 89
9,14/12/2018 19:00,TD Garden,Boston Celtics,Atlanta Hawks,129 - 108
9,14/12/2018 19:00,Spectrum Center,Charlotte Hornets,New York Knicks,124 - 126
9,14/12/2018 19:30,Barclays Center,Brooklyn Nets,Washington Wizards,125 - 118
9,14/12/2018 19:30,Quicken Loans Arena,Cleveland Cavaliers,Milwaukee Bucks,102 - 114
9,14/12/2018 19:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,101 - 113
9,14/12/2018 20:00,FedExForum,Memphis Grizzlies,Miami Heat,97 - 100
9,14/12/2018 22:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,109 - 98
9,14/12/2018 22:00,Moda Center,Portland Trail Blazers,Toronto Raptors,128 - 122
9,14/12/2018 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,125 - 130
9,15/12/2018 17:00,Arena Ciudad de Mexico,Orlando Magic,Utah Jazz,96 - 89
9,15/12/2018 19:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,100 - 128
9,15/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,113 - 104
9,15/12/2018 20:00,FedExForum,Memphis Grizzlies,Houston Rockets,97 - 105
9,15/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Chicago Bulls,93 - 98
9,15/12/2018 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,110 - 104
9,15/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,107 - 99
9,16/12/2018 15:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,144 - 127
9,16/12/2018 15:30,Quicken Loans Arena,Cleveland Cavaliers,Philadelphia 76ers,105 - 128
9,16/12/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,110 - 99
9,16/12/2018 18:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,128 - 110
9,16/12/2018 19:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,113 - 120
9,16/12/2018 19:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,96 - 102
9,16/12/2018 20:00,Pepsi Center,Denver Nuggets,Toronto Raptors,95 - 86
9,17/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,104 - 107
9,17/12/2018 19:30,Madison Square Garden,New York Knicks,Phoenix Suns,110 - 128
9,17/12/2018 20:00,Toyota Center,Houston Rockets,Utah Jazz,102 - 97
9,17/12/2018 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,132 - 105
9,17/12/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,121 - 96
9,17/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Philadelphia 76ers,123 - 96
9,17/12/2018 22:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,110 - 93
9,17/12/2018 22:30,Staples Center,LA Clippers,Portland Trail Blazers,127 - 131
9,18/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,91 - 92
9,18/12/2018 19:30,State Farm Arena,Atlanta Hawks,Washington Wizards,118 - 110
9,18/12/2018 19:30,Barclays Center,Brooklyn Nets,Los Angeles Lakers,115 - 110
9,18/12/2018 21:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,126 - 118
9,19/12/2018 19:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,110 - 99
9,19/12/2018 19:00,Amway Center,Orlando Magic,San Antonio Spurs,90 - 129
9,19/12/2018 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,131 - 109
9,19/12/2018 19:30,TD Garden,Boston Celtics,Phoenix Suns,103 - 111
9,19/12/2018 19:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,99 - 96
9,19/12/2018 20:00,United Center,Chicago Bulls,Brooklyn Nets,93 - 96
9,19/12/2018 20:00,Toyota Center,Houston Rockets,Washington Wizards,136 - 118
9,19/12/2018 20:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,123 - 115
9,19/12/2018 20:00,Target Center,Minnesota Timberwolves,Detroit Pistons,123 - 129
9,19/12/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,108 - 103
9,19/12/2018 22:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,99 - 92
9,19/12/2018 22:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,113 - 132
10,20/12/2018 20:00,AmericanAirlines Arena,Miami Heat,Houston Rockets,101 - 99
10,20/12/2018 22:30,Staples Center,LA Clippers,Dallas Mavericks,125 - 121
10,21/12/2018 19:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,98 - 86
10,21/12/2018 19:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,126 - 110
10,21/12/2018 19:30,Barclays Center,Brooklyn Nets,Indiana Pacers,106 - 114
10,21/12/2018 19:30,Madison Square Garden,New York Knicks,Atlanta Hawks,107 - 114
10,21/12/2018 20:00,TD Garden,Boston Celtics,Milwaukee Bucks,107 - 120
10,21/12/2018 20:00,United Center,Chicago Bulls,Orlando Magic,90 - 80
10,21/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,124 - 98
10,21/12/2018 22:00,Moda Center,Portland Trail Blazers,Utah Jazz,90 - 120
10,21/12/2018 22:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,102 - 99
10,21/12/2018 22:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,112 - 104
10,22/12/2018 17:00,Staples Center,LA Clippers,Denver Nuggets,132 - 111
10,22/12/2018 19:00,Capital One Arena,Washington Wizards,Phoenix Suns,149 - 146
10,22/12/2018 19:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,126 - 101
10,22/12/2018 20:00,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,94 - 87
10,22/12/2018 20:00,Toyota Center,Houston Rockets,San Antonio Spurs,108 - 101
10,22/12/2018 20:30,ORACLE Arena,Golden State Warriors,Dallas Mavericks,120 - 116
10,22/12/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,106 - 107
10,23/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,95 - 98
10,23/12/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,105 - 89
10,23/12/2018 18:00,TD Garden,Boston Celtics,Charlotte Hornets,119 - 103
10,23/12/2018 18:00,Barclays Center,Brooklyn Nets,Phoenix Suns,111 - 103
10,23/12/2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,92 - 112
10,23/12/2018 18:00,Amway Center,Orlando Magic,Miami Heat,91 - 115
10,23/12/2018 18:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,122 - 117
10,23/12/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,112 - 114
10,23/12/2018 20:30,ORACLE Arena,Golden State Warriors,LA Clippers,129 - 127
10,23/12/2018 21:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,121 - 118
10,23/12/2018 21:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,99 - 107
10,25/12/2018 12:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,95 - 109
10,25/12/2018 15:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,113 - 109
10,25/12/2018 17:30,TD Garden,Boston Celtics,Philadelphia 76ers,121 - 114
10,25/12/2018 20:00,ORACLE Arena,Golden State Warriors,Los Angeles Lakers,101 - 127
10,25/12/2018 22:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,117 - 96
10,26/12/2018 19:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,106 - 95
10,26/12/2018 19:00,Amway Center,Orlando Magic,Phoenix Suns,120 - 122
10,26/12/2018 19:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,121 - 129
10,26/12/2018 19:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,134 - 132
10,26/12/2018 19:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,104 - 106
10,26/12/2018 20:00,United Center,Chicago Bulls,Minnesota Timberwolves,94 - 119
10,26/12/2018 20:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,95 - 87
10,26/12/2018 20:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,122 - 119
10,26/12/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Denver Nuggets,111 - 103
10,26/12/2018 22:30,Staples Center,LA Clippers,Sacramento Kings,127 - 118
11,27/12/2018 20:00,Toyota Center,Houston Rockets,Boston Celtics,127 - 113
11,27/12/2018 20:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,112 - 96
11,27/12/2018 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,117 - 116
11,27/12/2018 22:30,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,97 - 114
11,27/12/2018 22:30,ORACLE Arena,Golden State Warriors,Portland Trail Blazers,109 - 110
11,28/12/2018 19:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,100 - 87
11,28/12/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,125 - 88
11,28/12/2018 19:00,Amway Center,Orlando Magic,Toronto Raptors,116 - 87
11,28/12/2018 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,92 - 101
11,28/12/2018 20:00,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,118 - 94
11,28/12/2018 20:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,120 - 123
11,28/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,114 - 112
11,28/12/2018 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,102 - 99
11,28/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,102 - 118
11,28/12/2018 22:30,Staples Center,Los Angeles Lakers,LA Clippers,107 - 118
11,29/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,129 - 115
11,29/12/2018 19:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,104 - 108
11,29/12/2018 19:00,Capital One Arena,Washington Wizards,Charlotte Hornets,130 - 126
11,29/12/2018 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,111 - 108
11,29/12/2018 20:00,FedExForum,Memphis Grizzlies,Boston Celtics,103 - 112
11,29/12/2018 20:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,129 - 97
11,29/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,118 - 122
11,29/12/2018 22:00,Moda Center,Portland Trail Blazers,Golden State Warriors,105 - 115
11,29/12/2018 22:30,Staples Center,LA Clippers,San Antonio Spurs,111 - 122
11,30/12/2018 15:30,Amway Center,Orlando Magic,Detroit Pistons,109 - 107
11,30/12/2018 18:00,AmericanAirlines Arena,Miami Heat,Minnesota Timberwolves,104 - 113
11,30/12/2018 18:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,95 - 89
11,30/12/2018 19:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,105 - 103
11,30/12/2018 21:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,129 - 95
11,30/12/2018 21:30,Staples Center,Los Angeles Lakers,Sacramento Kings,121 - 114
11,31/12/2018 15:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,116 - 108
11,31/12/2018 18:00,Spectrum Center,Charlotte Hornets,Orlando Magic,125 - 100
11,31/12/2018 19:00,Toyota Center,Houston Rockets,Memphis Grizzlies,113 - 101
11,31/12/2018 19:00,AT+ACY-T Center,San Antonio Spurs,Boston Celtics,120 - 111
11,31/12/2018 20:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,123 - 114
11,31/12/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,122 - 102
11,31/12/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,109 - 132
11,01/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Utah Jazz,122 - 116
11,01/01/2019 20:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,121 - 98
11,01/01/2019 21:00,Pepsi Center,Denver Nuggets,New York Knicks,115 - 108
11,01/01/2019 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,108 - 113
11,01/01/2019 22:30,Staples Center,LA Clippers,Philadelphia 76ers,113 - 119
11,02/01/2019 19:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,84 - 122
11,02/01/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Miami Heat,92 - 117
11,02/01/2019 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,114 - 98
11,02/01/2019 19:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,126 - 121
11,02/01/2019 20:00,TD Garden,Boston Celtics,Minnesota Timberwolves,115 - 102
11,02/01/2019 20:00,United Center,Chicago Bulls,Orlando Magic,84 - 112
11,02/01/2019 20:00,FedExForum,Memphis Grizzlies,Detroit Pistons,94 - 101
11,02/01/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,127 - 132
11,02/01/2019 22:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,100 - 107
12,03/01/2019 20:00,AT+ACY-T Center,San Antonio Spurs,Toronto Raptors,125 - 107
12,03/01/2019 22:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,113 - 117
12,03/01/2019 22:30,ORACLE Arena,Golden State Warriors,Houston Rockets,134 - 135
12,04/01/2019 19:30,Quicken Loans Arena,Cleveland Cavaliers,Utah Jazz,91 - 117
12,04/01/2019 20:00,TD Garden,Boston Celtics,Dallas Mavericks,114 - 93
12,04/01/2019 20:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,115 - 109
12,04/01/2019 20:00,United Center,Chicago Bulls,Indiana Pacers,116 - 119
12,04/01/2019 20:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,100 - 109
12,04/01/2019 20:00,Target Center,Minnesota Timberwolves,Orlando Magic,120 - 103
12,04/01/2019 20:30,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,144 - 112
12,04/01/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,111 - 121
12,04/01/2019 22:30,Staples Center,Los Angeles Lakers,New York Knicks,112 - 119
12,04/01/2019 22:30,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,109 - 111
12,05/01/2019 17:00,Pepsi Center,Denver Nuggets,Charlotte Hornets,123 - 110
12,05/01/2019 19:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,105 - 110
12,05/01/2019 19:30,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,106 - 100
12,05/01/2019 20:00,Quicken Loans Arena,Cleveland Cavaliers,New Orleans Pelicans,98 - 133
12,05/01/2019 20:30,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,116 - 123
12,05/01/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Memphis Grizzlies,108 - 88
12,05/01/2019 22:00,Moda Center,Portland Trail Blazers,Houston Rockets,110 - 101
12,05/01/2019 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,123 - 127
12,06/01/2019 15:30,United Center,Chicago Bulls,Brooklyn Nets,100 - 117
12,06/01/2019 15:30,Target Center,Minnesota Timberwolves,Los Angeles Lakers,108 - 86
12,06/01/2019 15:30,Staples Center,LA Clippers,Orlando Magic,106 - 96
12,06/01/2019 18:00,State Farm Arena,Atlanta Hawks,Miami Heat,106 - 82
12,06/01/2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,98 - 116
12,06/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,121 - 105
12,06/01/2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Charlotte Hornets,113 - 119
12,07/01/2019 19:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,107 - 119
12,07/01/2019 19:30,TD Garden,Boston Celtics,Brooklyn Nets,116 - 95
12,07/01/2019 20:00,Toyota Center,Houston Rockets,Denver Nuggets,125 - 113
12,07/01/2019 20:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,114 - 102
12,07/01/2019 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,114 - 95
12,07/01/2019 20:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,97 - 107
12,07/01/2019 22:00,Moda Center,Portland Trail Blazers,New York Knicks,111 - 101
