Round Number,Date,Location,Home Team,Away Team,Result
19,28/02/2019 19:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,118 - 125
19,28/02/2019 20:00,Toyota Center,Houston Rockets,Miami Heat,121 - 118
19,28/02/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,104 - 108
19,28/02/2019 22:30,Pepsi Center,Denver Nuggets,Utah Jazz,104 - 111
19,01/03/2019 19:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,161 - 168
19,01/03/2019 19:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,112 - 123
19,01/03/2019 20:00,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,119 - 117
19,01/03/2019 20:00,TD Garden,Boston Celtics,Washington Wizards,107 - 96
19,01/03/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,116 - 130
19,01/03/2019 22:00,Golden 1 Center,Sacramento Kings,LA Clippers,109 - 116
19,01/03/2019 22:30,Staples Center,Los Angeles Lakers,Milwaukee Bucks,120 - 131
19,02/03/2019 17:00,Quicken Loans Arena,Cleveland Cavaliers,Detroit Pistons,93 - 129
19,02/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,112 - 117
19,02/03/2019 19:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,117 - 88
19,02/03/2019 20:30,Wells Fargo Center,Philadelphia 76ers,Golden State Warriors,117 - 120
19,02/03/2019 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,81 - 111
19,02/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Oklahoma City Thunder,116 - 102
19,02/03/2019 21:00,Pepsi Center,Denver Nuggets,New Orleans Pelicans,112 - 120
19,02/03/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,118 - 109
19,02/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Milwaukee Bucks,115 - 111
19,03/03/2019 13:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,108 - 118
19,03/03/2019 15:30,TD Garden,Boston Celtics,Houston Rockets,104 - 115
19,03/03/2019 15:30,United Center,Chicago Bulls,Atlanta Hawks,118 - 123
19,03/03/2019 15:30,Staples Center,LA Clippers,New York Knicks,128 - 107
19,03/03/2019 18:00,Quicken Loans Arena,Cleveland Cavaliers,Orlando Magic,107 - 93
19,03/03/2019 18:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,112 - 107
19,03/03/2019 18:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,135 - 121
19,03/03/2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,99 - 95
19,04/03/2019 19:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,127 - 88
19,04/03/2019 19:30,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,114 - 113
19,04/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Denver Nuggets,104 - 103
19,04/03/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Milwaukee Bucks,114 - 105
19,04/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,112 - 115
19,04/03/2019 22:00,Golden 1 Center,Sacramento Kings,New York Knicks,115 - 108
19,04/03/2019 22:30,Staples Center,Los Angeles Lakers,LA Clippers,105 - 113
19,05/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,105 - 96
19,05/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,114 - 106
19,05/03/2019 20:00,Scotiabank Arena,Toronto Raptors,Houston Rockets,95 - 107
19,05/03/2019 20:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,120 - 111
19,05/03/2019 20:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,131 - 120
19,05/03/2019 22:30,ORACLE Arena,Golden State Warriors,Boston Celtics,95 - 128
19,06/03/2019 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,84 - 91
19,06/03/2019 19:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,131 - 114
19,06/03/2019 19:00,Capital One Arena,Washington Wizards,Dallas Mavericks,132 - 123
19,06/03/2019 19:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,104 - 111
19,06/03/2019 19:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,113 - 107
19,06/03/2019 20:00,United Center,Chicago Bulls,Philadelphia 76ers,108 - 107
19,06/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,104 - 114
19,06/03/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,New York Knicks,107 - 96
19,06/03/2019 22:00,Golden 1 Center,Sacramento Kings,Boston Celtics,109 - 111
19,06/03/2019 22:30,Staples Center,Los Angeles Lakers,Denver Nuggets,99 - 115
20,07/03/2019 20:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,117 - 98
20,07/03/2019 22:30,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,121 - 129
20,08/03/2019 19:00,Spectrum Center,Charlotte Hornets,Washington Wizards,112 - 111
20,08/03/2019 19:00,Amway Center,Orlando Magic,Dallas Mavericks,111 - 106
20,08/03/2019 20:00,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,126 - 110
20,08/03/2019 20:00,United Center,Chicago Bulls,Detroit Pistons,104 - 112
20,08/03/2019 20:00,Toyota Center,Houston Rockets,Philadelphia 76ers,107 - 91
20,08/03/2019 20:00,FedExForum,Memphis Grizzlies,Utah Jazz,114 - 104
20,08/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,104 - 127
20,08/03/2019 22:30,ORACLE Arena,Golden State Warriors,Denver Nuggets,122 - 105
20,08/03/2019 22:30,Staples Center,LA Clippers,Oklahoma City Thunder,118 - 110
20,09/03/2019 12:00,Madison Square Garden,New York Knicks,Sacramento Kings,94 - 102
20,09/03/2019 19:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,112 - 114
20,09/03/2019 20:00,Target Center,Minnesota Timberwolves,Washington Wizards,135 - 130
20,09/03/2019 20:30,Staples Center,Los Angeles Lakers,Boston Celtics,107 - 120
20,09/03/2019 21:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,131 - 114
20,09/03/2019 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,127 - 120
20,10/03/2019 12:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,131 - 108
20,10/03/2019 15:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,104 - 125
20,10/03/2019 15:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,106 - 89
20,10/03/2019 18:00,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,128 - 116
20,10/03/2019 18:00,FedExForum,Memphis Grizzlies,Orlando Magic,105 - 97
20,10/03/2019 19:00,American Airlines Center,Dallas Mavericks,Houston Rockets,93 - 94
20,10/03/2019 20:00,Target Center,Minnesota Timberwolves,New York Knicks,103 - 92
20,10/03/2019 20:00,AT+ACY-T Center,San Antonio Spurs,Milwaukee Bucks,121 - 114
20,10/03/2019 20:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,111 - 115
20,11/03/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,126 - 101
20,11/03/2019 19:00,Capital One Arena,Washington Wizards,Sacramento Kings,121 - 115
20,11/03/2019 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,103 - 75
20,11/03/2019 20:00,Toyota Center,Houston Rockets,Charlotte Hornets,118 - 106
20,11/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,89 - 98
20,11/03/2019 22:30,Staples Center,LA Clippers,Boston Celtics,140 - 115
20,12/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,103 - 98
20,12/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106 - 99
20,12/03/2019 20:00,United Center,Chicago Bulls,Los Angeles Lakers,107 - 123
20,12/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,113 - 130
20,12/03/2019 20:00,American Airlines Center,Dallas Mavericks,San Antonio Spurs,105 - 112
20,12/03/2019 22:30,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,133 - 107
